texto,sentimento
"Grupo Boticário, associado ABA, lança a campanha Ex(ótica), voltada ao questionamento de falas e comportamentos que se utilizam de termos como “exóticas” e “diferentes” para caracterizar tipos de belezas.
  
Saiba mais no link: https://t.co/BpL79Cxehc

#aba #aba2022 #aba2025 https://t.co/Kv7bxdFKuq",0
ontem passei na planet comprei uma roupa e fui na boticário comprar um perfume novo🥰🤯,1
O Boticário é só mais uma empresa q surfa nessa precarização da mão de obra no Brasil enquanto faz propaganda bonitinha no intervalo do fantástico! #boicoteaoboticario,-1
Eu tô virando a cadelinha da Boticário 🤡,-1
e a belezanaweb que é da o boticário,0
"É isso aí,, natura, boticario, magalu,, já eram",-1
@chuchuchu @Rena ela tem cara de quem usa florata do boticario,0
Tenho q ir na Boticário e estou enrolando a vida 🤦🏾‍♂️🤦🏾‍♂️ preguiça da porra,-1
"A vendedora falou que eu tinha uma beleza exótica??! Que não é padrão mas é muito lindo ?! 
Obs: eu estava comprando um produto na Boticário",0
"@CunhaYas A natura tem uma porcentagem maior, mas infelizmente nem todos gostam, dos produtos acaba não vendendo tanto com vende da Boticário por exemplo. 
A Tupperware é ótimo pra vender tbm, mas tem saber impulsionar clientes já que os produtos são caros. Revender produtos exige muitas +",0
"Fui no o boticário comprar um presente pra uma amiga, o vendedor já queria me empurrar coisa na promoção... eu tenho tanta cara de pobre assim?",-1
@Joaquinteixeiro Boticário perdendo venda em 321,-1
@Dmitriela amiga uomini o maioral do Boticário eu amo,1
"Ganhei aquele perfume coffee uma vez de uma pessoa e eu lembro que amei aquele perfume, aí fui ver pra comprar de novo e tá bem caro comparado com os outros da Boticário",0
Caraleo usei o shampoo que ganhei da Boticário e bagulho e top fih!!,1
trabalhando esse tempo no boticario eu ja imaginei tanto meu pai entrando ali do nada pra comprar perfume e eu tendo que quebrar um zaad na minha cabeça pra ver se eu desmaio,-1
Toda vez que eu vou na Boticário fica um pulmão e um rim meu lá pra pagar pqp,-1
fico pensando pensamentos de como aprovaram o mascote do boticário que foi 100% feito pra uma marca de refrigerante pitchulinha 70% suco natural para crianças,0
"eu até tenho perfume da o boticário mas eu detesto pq eu acho muito rodado sabe, tô querendo comprar um perfume importado, só que eu tenho muita dó de pagar 500 reais em um perfume",-1
Cadê o brinde do mês de junho do Boticário hein?? Tô no aguardo,0
"meu deus a morte do romantismo é a campanha do o Boticário falando que não é dia dos namorados, é dia do amor e não importa o status",-1
"Sim, boicotaremos, msm. Quem lacra, não lucra e ponto final. Boicote às Lojas Americanas, Boticário, VIVO e tantas quantas insistirem em divulgar doutrina esquerdopata em nosso Brasil c MAIORIA dos brasileiros cristã, conservadora e eleitora do PR @jairbolsonaro",-1
"@SJulyano se for na aba da boticário egeo, vai se surpreender KKKK",0
"Eita que hoje sai o resultado da Boticário
Minha nossa senhora
Queria tanto ganhar 🥹♥️
Mas entendo que eu tava sem psicológico pra fazer algo legal 😓🥹",-1
"@BLACKPINKBRASIL @BLACKPINK E minha amigas pedindo kit caro do Boticário, eu heim!",-1
"@rkivejhope eu meteria um tapão, apertaria, mordia, dava beijo, passava hidratante da boticário bumbum de pêssego",1
"Associate Product Manager - Analista III - Vaga Afirmativa para Mulheres (Consumidor) 
Grupo Boticário Trabalho Remoto  https://t.co/DNhLwrklMz",0
Meu kit do #boticario chego🥰🛍✅ https://t.co/3oEbhUZ9JY,1
"@Stefane_bjs Na porta da caxu tem uma lojinha de cosméticos, vende produtos da o Boticário",0
"🫰🏽 Joalheria Zenith, O Boticário, Água Doce Cachaçaria, Pousada O Sole Mio e muitas outras opções. Aproveite!

🔎 Saiba mais em https://t.co/d5fWSz6gS4",0
@eunevess_ Vem pra boticário que você só vai sentir meu cheiro 🫶🏻,1
queria esse kit do combat cosméticos da o Boticário,0
"@joicemara Na questão de preço te indicaria Bruna Tavares, Vult, Avon, Boticário.
Agr acabamento vai por questão mas eu preço indico bases matte para peles mais oleosas.",0
@gabrikm me tornei cadelinha da boticário oficialmente,0
os cara mt esperto compra na boticario ainds pra parecer coisa de dia das namoradas,0
"Fico doida,uso meus perfumes importados q custou o olho da cara e o cheiro não fica, o da Boticário incendeia tudo 🙄😡",-1
O terror do Boticário é a lenda de que não pode dar perfume no dia dos namorados pq o namoro acaba junto com o perfume.,-1
"Boticário, Cacau Show e outras com produtos em promoção no Dia dos Namorados https://t.co/pMbjM3J2GB",0
em reunião hoje com o pessoal da boticário fiquei tão nervoso meu deus,-1
"Em menos de um mês já chegou 5 sacolas da Boticário aqui em casa , oq eu estou pensando da vida eu não sei ..!!",-1
@_youlu pois é! Eu to usando umas maquiagens deles tbm (tanto boticario quanto quem disse berenice) e são ótimas tbm... virei cliente,1
"@ThiagoResiste Ue gente mas aí são só empresas q os donos são bolsonaristas kkk, as marcas mais topa patrocinam os progressistas sim, Avon Boticário Magazine Luiza Burgue King Globoplay entre várias outras!",0
vou dormir na Aline e amanhã antes do curso vou passar na boticário pq esqueci meu perfume em casa rs,0
Tô cansada mentalmente. Vou parar com a Boticário! Tá dando não...,-1
@hinatacolors mas natura vc mi quebra da próxima vez que compre um da boticário !,-1
"meu cabelo agr deu pras dps de 2 anos n querer mais skala
qr só o match de 50 conto da boticário",0
trabalhar no Boticário é tão gostoso caras,1
"#DicaDeNamorados: Prepare, nos mínimos detalhes, um momento perfeito a dois. Cercados de carinho e amor!🌹 

Leader - 3º Piso
O Boticário - Piso Térreo
Casa&amp;Vídeo - Piso S https://t.co/MNlGoPbTMQ",1
"Primeiro a coca cola, agora foi a Boticário que me respondeu no Twitter. ISSO É UM SINAL",1
"@marielisoares30 ""Para o TCC receber um 10: sim! Segue fonte:  PROPAGANDA Boticario. In: Dia do Amor 2022. [S. l.], 1 jun. 2022. Disponível em: https://t.co/i2gGikZyir. Acesso em: 9 jun. 2022. #VivaSeuAmor",0
"@Adian_Gouveia 10 reais antecipado, compra lá no boticario",0
@CH4NS0 O Boticário informa: ficante pode SIM dar e receber presente (e se for kit do Boti aí é que deve mesmo 😜🗣️) https://t.co/EKVk5tQKlS  #VivaSeuAmor,1
alguém sabe dizer se Boticário/natura trocam presente????,0
e o meu que escolheu usar o nativa spa do boticario sabor ameixa 🤡,-1
quero a linha de creme bumbum de pêssego da o Boticário 😭😭😭😭😭😭😭,-1
"Acho que vou me dá de presente esse kit da Boticário pra bumbum, tô querendo muito testa pra vê se é isso tudo que falam msm",0
"@asinhorinha @Tioito1 Americanas, Magazine Luiza, Boticário, carro Polo,... Completem a lista, p.fvr.",0
não existe hidratante mais cheiroso no mundo do que o de pêssego da boticário,1
quasar da boticário cheiro de caboco gostoso e digo mais https://t.co/GZWP0kLG0n,1
"https://t.co/eVFeEeB066
Seja o primeiro a comprar seu morango ruby da nativa spa,lançamento BOTICÁRIO. https://t.co/CbJTo85x8j",0
"Em visita à fábrica do Boticário, Júnior Borges conhece projeto de ampliação da empresa | Camaçari Notícias https://t.co/bIPSSK4Wsh",0
amo que meu cabelo é muito humilde quando eu tava fudida ele só se dava com novex agr que to *trabalhando bastante* ele so aceita o boticario,1
Ahaahahha eu li “Boticário “ e já estava pensando no homem aqui no BR,0
"Amando o conceito da propaganda do o boticário p dia dos namorados normalizando e influenciando vc comprar um presente p seu ficante kkkkk pois ""não importa o status atual,o amor deve ser celebrado de todas as formas""",1
queria um coffee do boticário,0
ainda devastada pq o creme de flor de maçã saiu de linha do boticário,-1
O boticário que se tornou um dos maiores intelectuais espíritas do Brasil https://t.co/w9oHyWv2Xq via @tabuol @UOL,0
As meninas me mandaram mens p não esquecer as coisas do Boticário e cadê 🤡,0
"OFERTAS DO DIA:

AliEx: https://t.co/2Kt7fmmhUD
Amazon: https://t.co/LDSuZyw0Pn
Americanas: https://t.co/k04FEdVbg1
Boticário: https://t.co/QhRv1dIwpU 
Netshoes: https://t.co/dHMvDuN1h0
Shopee: https://t.co/mpvaKirCYf
Sub: https://t.co/AGo3PNnD6r

Canal: https://t.co/gO9lsASrxx",0
Valverde tava igual uma noia cheirando aqueles negócios da Boticário,0
"Grupo Boticário is hiring a Especialista em Arquitetura de Integrações I - Afirmativa para Talentos Diversos in Lavoro da casa, Remote: https://t.co/bzmOxOwd32 #API #AWS #Cloud #Azure",0
"https://t.co/jDH9TnHYfB
Produtos à pronta entrega e por encomenda.
#diadosnamorados #boticario https://t.co/6C3SZqPELa",0
"Ansiosa pra chegar o kit do Coffe que pedi pra mim, boticário tá me falindo real kkk",1
Boticário me patrocina KKKKKKKKKK https://t.co/dOyAfx42Zf,1
"Meu professor falando que dinheiro é bosta e ele tá fedendo, a minha versão é, se dinheiro é bosta eu tô cheirosa igual Boticário kkkkkkkkk",1
@gabrdag @Beyonce nova linha de fragrâncias ivy park num o boticário perto de vc,0
o Boticário ressignificou o dia dos namorados pra celebrar o dia do amor o que dá mais vontade de passar com um ficantezinho,1
apaixonada no kit de hidratante e  body splash de pêssego da boticário,1
Ansiosaaaa p meu perfume da boticário chegar 🤩,1
Era só o kit bumbum de pêssego da Boticário na minha vida 😩😩,-1
"Parei para pensar hj que os meninos que eu ando me envolvendo graças a Deus não usam perfume marcantes e que certamente tu vai sentir por aí e lembrar deles (tipo o malbec da boticário), esses perfumes importados não grudam na roupa da gente então nem chega a ser tão marcante 😂",1
simplesmente aterrorizada com o lapis de olho do boticario pq eu lavei meu rosto 3 vezes com 2 sabonetes diferentes E ELE CONTINUA NO MEU OLHO,-1
Tô vendendo O Boticário já estou vendo eu não tendo comissão pq vou comprar tudo de perfume kkkkk,1
Esse Liz da Boticário e maravilhoso 🤩,1
"@CamargoDireita Minha lista ""branca"" só aumenta: depois de natura, boticário, magalu... deviam simplesmente vender seus produtos, sem lacração. Patético.",-1
"Tenho o perfume caro ótimo, mas que sem condições de usar todo dia né. Daí conheci o body splash baratinho da Boticário/Natura, comprei 2 toda animada e me deu alergia!! Senhor eu não nasci ser pobre 🥲🗣️",1
"Perdi um dinheiro na Boticário e agora na dona Alba, da pra mimar esses meus parentes n",-1
"preciso do coffe da boticário meu deus eu já tive todos os perfumes da boticário que eu queria, menos esse 😭",-1
os produtos ameixa/ameixa Negra da Boticário são muito bons ❤️ eu tô muito cheirosa tá maluco,1
"ganhei um kit da boticario do meu amooor, amei demais",1
@feeeperosso @gi_cabral @ricvs3 e uma sacolinha do Boticário que nunca tem nada do Boticário nela!,0
"hidratante da Natura/boticário e congêneres são cheirosos, gostosos e tal, mas não tem jeito, o que hidrata mesmo a pele são os cremes dermocosmeticos. tô usando uma loção da cetaphil e a pele está OUTRA.",0
"@rayssavrh Gataaa, muito carooo. Quem sabe um dia, por enquanto só boticário mesmo kkkkkkkkkk",0
@bencwings Esse da Boticário é 50 pilas mas vale MUITO a pena https://t.co/uDlqnF1bMZ,1
"🏫📚Nossas ações da Semana do Meio Ambiente não param e, hoje, entregamos em parceria com O Boticário, esse espaço educativo 🔝 , na UEB Mata Roma. https://t.co/VlGuFS1wfT",0
Vem aí o brinde Redutor de Rugas Botik Retinol Puro O Boticário https://t.co/t2OXXXSous,0
"Shampoo q ganhei da Boticário é bom pra crl, meu cabelo tá cheiroso DEMAIS",1
@alltoogabi ahhh eu saio fuçando o que tá em promo pq tipo aqui perto tem loja do boticário e fica mais prático (é amanhã o aniversário dela e ela tá ansiosa nível máximo) kkkk,0
gente é eu q ganhei um kit da boticário hj e eu NÃO SEI DE QM e ainda o homi disse q era presente do dia dos namorados e eu nem namorado tenho ???,0
"@alltoogabi eu tava olhando aqui no boticário as coisas da capricho estão em promoção, aí pensei num perfume + batom e gloss. ela é super vaidosa (e tb é prima kkk)",0
"ou odeio ir nos lugar e os povo desfazer da gente vei pqp 
 
eu ia compra mais n levei nd 
Inclusive LOJA @BOTICÁRIO shopping 🥰 melhora essas vendedora",-1
"ontem ganhei mimos do boticário e fez o meu dia, aí aí tô boba",1
Vem aí o brinde Redutor de Rugas Botik Retinol Puro O Boticário https://t.co/J2wiSY7s8B,0
"Dis dos namorados esta chegando, nw sou namorado de vcs minhas cats, mas desde ja agradeço o perfume ZAAD EAU da O BOTICÁRIO q vcs irão me dar 😁",1
"dia completamente merda no trabalho pensei em vir no mercado pra ja dar uma volta ne
fui entrar e a moça da boticario espirrando perfume de ex ficante exatamente na hora 🤡",-1
"@oBoticario Não é Fake News, inclusive O Boticário é perfume de doméstica",0
"Ganhei um hidratante de baunilha da Boticário, CARALHO, eu to muito cheiroso. EU IRIA QUERER COM CERTEZA DORMIR COMIGO 🤡",1
A matéria do TV Fama usando o vídeo da publi do O Boticário kkkkkk,0
"@CentralEslo @cfseslomarques O Boticario 
ESLUVON",0
vei por que creme da boticário não hidrata ????,-1
Pra minha coleção comprei mas um kit de ameixa da Boticário ❤️,1
"esse kit bumbum de pêssego da
 o boticário é simplesmente perfeito",1
"@FelipemFerreira Pouca gente lembra, mas quando tinha o outdoor do Boticário no Conjunto Nacional Brasília recebia mais turista que Paris",0
Ganhei um body splash de presente da mulher que compro Boticário! Fiquei com o coração quentinho 🥹💖,1
"@amariluisa @Hello_yse2 amg so toma cuidado cm os@produtos da boticario, evitar transformar o uso deles em rotina, porque eles sao ótimos, mas quando vc usa demais ele da efeito rebote",0
Comprei os produtos da linha match da Boticário para meu loirinho 🥰,1
"@bibibailas O melhor sabonete daí é o de Cactus da Boticário. Adoro Phebo, mas ele acaba muito rápido 🥲",-1
eu falando que vou guardar meu dinheiro e economizar sendo que saio do trabalho e vou p 16 de março comprar pulseira de prata e 2 loções hidratante da boticário 🤩🤩 eu odeio esse meu espírito consumista que ódio,-1
Novidade da Boticário eu já tenho 🥲,-1
Serasse a minha match da Boticário é boa?,0
Carol falou q ia comprar umas coisinhas da o boticário e comprou simplesmente 600 reais,0
"Viih tube se recuperou mesmo do cancelamento. Tá fazendo publi pra várias marcas grandes, Boticário, Bis, Disney+...",0
Nojenta essa propaganda do Boticário. Hoje cheguei a sugerir um produto deles. Nunca mais compro nada dessa marca. Prefiro gastar mais.,-1
@fabrici11302695 Lojas Boticário,0
"@CentralEslo @cfseslomarques O Boticário 
ESLUVON",0
"@Lettbg Depende, é do boticário?",0
pedi uns produtos da Boticário há mais de três dias e nada de chegar eu quero m,0
Comprei um esfoliante da o Boticário pra vê se realmente é bom espero que ajude na minha alergia tbm só a o Boticário anda me salvando,0
Minha gata me deu um kit do boticário que eu AMOO❤,1
"✨Cupom O Boticário✨

Frete grátis acima de R$49

🏷️Cupom: FRETEGRATIS

⚡Link: https://t.co/yWOwlCSl3K https://t.co/Bk2wy62o5U",0
@Lidii_lee minha mae vende boticario compra,0
@valeugaIega boy o boticário nunca acertou em perfume,1
eu juro q se der a louca no boticário e o coffee woman duo tiver a preço de banana essa semana eu compro 2,0
O tanto de homem com sacolinha do Boticário nesse ticen,0
@dookiuuk eu sou mas pelo menos cheiro a o boticario,1
eu tinha um kit da Boticário que jurei ter colocado na mala e agora não faço idéia de onde foi parar,0
"@Agatha_Arrt ah esse eu n faço ideia, tem um parecido na boticario q eu usava https://t.co/NjAhEC8t8Y",0
Todas as atendentes da loja da Boticário com cara de cool e trabalhando cheias de vontade. 👍,-1
FORA BOTICÁRIO! https://t.co/G8fCSIhE8G,-1
"🏷 #OBOTICARIO OFERTAS:

➡️ PROMOÇÃO COM ATÉ 50% OFF
🔗 LINK: https://t.co/6vvwHhgaQy

🎟 CUPONS O BOTICÁRIO:
🔗 https://t.co/dVjlMEU2GH

#OfertasOBoticario #OBoticarioCOC #CanalDeOfertasECupons

↪️ https://t.co/ur0YKTiVpw https://t.co/fOzY3NhYsi",0
meu deus provei um creme de morango e leite na boticário absurdo de bom pf alguém me dá de dia dos namorados,0
"@lytinha15 Nunca vou esquecer suas peripécias com o óleo Linda da Boticário, perfume Million (cheiro de João) e o perfume com cheiro de bolo que era baunilha pura! 🤣",1
Nossa experimentei um perfume no Boticário que tá até agr grudado em mim... Maravilhoso pena que não tinha dinheiro pra comprar  😞,-1
o lançamento do creme de morango da Boticário me decepcionou grandão,-1
Comprar refil da Boticário sai muito em conta. Os perfumes no vidro são triplo do valor.,0
@oBoticario egeo dolce!! me manda um boticario pfvr🥺,-1
"Se o seu amor é uma daquelas pessoas que adora usar produtos corporais bem cheirosos, olha só essas dicas que separamos em algumas de nossas lojas! 

1 - O Boticário 
2 - Beauty Box
3 - Loccitane Au Brésil
4 - Natura

#BHS #DiadosNamoradosBHShopping https://t.co/kVkqEGjiR4",0
"Acabei de deixar meu rim na Boticário 🥴
Mesmo pegando promoção",-1
"O creme lily da Boticário me dá tanta dor de cabeça que pqp, tentei gostar mas não dá",-1
O Boticário oferece 63 opções de kits para presentear no Dia do Amor https://t.co/HgCuBmAs1B,0
"Empresas com VW, Natura, Boticário e outras tantas que desrespeitam o consumidor conservador, querendo lacrar a exceção, estão no rumo certo da Magalú...
Beijando a lona toda semana.
Mas cú de burro aperta cada vez mais, mesmo com a promessa de tirar pra fora. https://t.co/e1fs4Gx9Vi",-1
@Agatha_Arrt era um da Boticário??,0
o boticário tem o meu coração e todo meu dinheiro kkk 😍,1
gente estou indo comprar o kit para cabelos loiros da O Boticário.,0
"diálogo no uber agora:
ele: eita perfume cheiroso
eu: valeu, mano
ele: como é o nome?
eu: sauvage
ele: boticario é?
eu: dior https://t.co/HeDikF8qR9",1
"minhas compras do Boticário chegaram, que deliciaaaa 🥰",1
O creme da nuvem da O boticário foi a melhor aquisição que eu fiz,1
"vi uma esquisita usando vape dentro da boticário, o push acabou na hora tadinha

bem feito",-1
Não sei se o Boticário ou a @nubank  dá as melhores respostas. Dá para ser solteira e viver em um triângulo amoroso sim. Kkkkkkk,1
@cesaresn A boticário faz o mesmo comigo.,0
"fui na boticario do via direta pq lá as atendentes são uns amores...
pena que não tinha o shampoo de banana",1
"Fui na boticário pra comprar um creme de sempre compro lá, a moça me diz que ganhei um desconto em um MICRO PRODUTO DE CABELO que custa 30 , mas agora por eu ser cliente fiel, custa 27... 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡... Que isso gente",0
passei na frente do Boticário e já deu vontade de fazer uma parcelinha,0
ser uma mulher cara é cansativo kkkk gastei foi dinheiro na boticário 🤦🏼‍♀️,-1
"A Oracle e O Boticário confirmaram presença no https://t.co/Ob4X46wIpZ Connect 2022. 

Participe vc tb do evento que mostrará o que sua empresa já pode fazer para adotar as #tecnologias do #futuro
Dia: 14/06, às 14h

Grátis https://t.co/4qQkv7OK3H

#cloud #inovacao https://t.co/mOCIMSpBUq",0
"trabalha no boticário esse final de semana, só esqueci que tenho rinite",-1
"amigos

se você ainda quer me der um presente de aniversário: me dê um shampoo da O Boticário",0
"Caridade, amor ao próximo.
O boticário que se tornou um dos maiores intelectuais espíritas do Brasil https://t.co/BVz0lXSkSK via @tabuol @UOL",1
"Esse shampoo da Boticário é muito bom, meu cabelo tá macio e cheiroso..🥰",1
"Iniciativa da Fundação Grupo Boticário em parceria com a COI-Unesco pretende estimular a produção de conteúdo de qualidade sobre oceano

Leia mais em:
https://t.co/YinhmGbQXu",0
@robertorizzardo Boticario nunca mais.,-1
impressionante como TODA vez que eu vou na boticário eu sou mal atendida,-1
e meu irmão q vai fazer um comercial p Boticário 😎😎😎 só sinto orgulho,1
@naftalynda Me patrocina Boticário kkkkkk,1
@rosa_josivania @LucasBissoli_ Egeo choc da boticario tem notas de chocolate e chantilly.,0
"os boy metido da minha city só sabe usar 212 (Carolina Herrera) ou One Million (Paco Rabanne) aí sai todo mundo com o mesmo cheiro! Cê confunde tudo os boy, não sabe quem é quem! Melhor usar O Boticario, Avon, Rexona pelo menos não é confundido e de leva economiza uns $ 🤣🤡 😷🤢",0
"@owlyasm amiga amô os da the body shop, eudora, boticário, avatim",1
eu mal e minha mãe: toma uma sacola cheia de coisas da boticário p vc 🥰,1
"Tenho que ir lá na Boticario, mas a preguiça de sair de casa n deixa 😒",-1
O boticário que se tornou um dos maiores intelectuais espíritas do Brasil @tabuol @UOL https://t.co/golPExHEif,0
#O Boticário o dia do amor 💘 https://t.co/pV153bQIaE,1
@danielaventurim Glamour da Boticário,0
I just liked “BOTICÁRIO | SE AMAR É A MAIOR REVOLUÇÃO” on #Vimeo: https://t.co/UsdoZoqExo,1
"É difícil se manter cheiroso quando se usa transporte público, pqp. Passei um creme delicinha da Boticário, nem sinto mais o cheiro.",-1
@morceguinha_a Melhor linha da boticario,1
"@FBLEddy Boticário eu nem ligo. O pior é destruir as versões canônicas dos heróis, (trans) sexualização de crianças, inclusive nas escolas e protecionismo legal. Nessas circumstâcias, sou opositor declarado da causa deles.",-1
"e o comercial da boticario do dia dos namorados? 

Kkkkkkkk",1
a mulher da Boticário tava doida cmg já kkkkkkk,1
alguma cacheada já usou a linha de shampoo e condicionador da boticário e gostou??,0
amo dia dos namorados pois = perfume em promoção na o boticário,1
"acabei de ver q meu carolina herrera tá acabando tbm. mds q dia difícil, vai me sobrar só boticário 😭😭😭😭😭😭",-1
Boticário abre oportunidade de emprego em Loja https://t.co/tTxl8NQehM,0
"@amaismuie Também parei de comprar as caras. Estava usando o BB cream da Quem disse Berenice, mas dessa última vez, comprei a do Boticário (🤮) e está me servindo bem. Tenho problemas para me dar bem com bases.",-1
Mds esse desodorante da boticário é tudo pra mim,1
"Mano eu to puto com o Boticário. Comprei um negócio e a transportadora não consegue achar a minha casa, sendo que o endereço ta certo e eu moro perto do shopping jl basicamente ??????",-1
"Seis e pouco da manhã, ônibus lotado percebo uma agitação incomum,  tiro o fone e vejo a mulher passando às revistas da Boticário dela.  Simplesmente o 755 entrega muito",1
"o boticário macetou mt na propaganda dos namorados esse mês kkkkkkkkk foram espertos, meteram logo um ""nesse dia dos namorados, não importa o status"" kkkkkk genial",1
"""Meu contatinho merece um presentinho?""

Boticário, pare.",-1
Boticário nunca decepciona em propaganda do dia dos namorados,1
Amo a propaganda do Boticário incentivando dar presente pra ficante no dia dos namorados,1
"O #DiadosNamorados já está batendo na porta e, no Brasil, é impossível não se lembrar do Boticário nessa data. Mas, para além do romance, aqui na Adyen, @oBoticario é lembrado pela forma como implementou o processo de #transformaçãodigital. Leia no blog: https://t.co/UmRSQfh39s https://t.co/O7Jr43exFY",0
"fui ajudar meu amigo a comprar presente pra namorada dele ontem e mds eu que pirei com os perfumes do boticário, agora necessito ter o floratta red também já que eu tenho o meu floratta my blue aaa doida pra comprar",1
vou na boticário hj me dar um presente de dia dos namorados 🥰,1
@ThaynaraOG @alvxaro Lascou com a boticário agora 🤣🤣🤣,-1
"@alvxaro Coitado de quem vende boticário e natura ,tô lascada🙅",-1
"Acho que as atendentes do Boticário me odeiam, vou lá sinto o cheiro dos perfumes e compro pelo site pra aproveitar a promoção kkkkkk",-1
"a linha nuvem da boticário é muito gostosinha e refrescante 

indico",1
"O cara tem q ser uma dessas 3 opções:
Rico
Bonito
Cheiroso 

Eu escolhi o mais fácil, dá pr ir na boticário e parcelar em até 5x!😁",1
melhor parte de trabalhar na boticario é ir sem maquiagem e perfume e passar tudo da loja,1
"eu falando pra marcos que fui na o boticario ontem pra ver se achava um perfume de até 50 reais (resposta: não tinha k), ele foi no armário dele e me deu um MALBEC cara, um M A L B E C original (e ainda deu 2 amostras da natura kkkkkkkkkk)",0
@nic_witch O da vaquinha da boticário,0
onde eu consigo um cupomzinho de desconto na boticário em 2022?,0
"Eu comprei uma máscara do Boticário chamada “bumbum de pêssego” e usei a primeira vez ontem, meninas só digo uma coisa COMPREM🍑",1
gente meu perfume acabou quem quiser me dar um presente é o thaty do boticario,0
"boticario, me da um de aniversário? 🥺👉🏼👈🏼",-1
Já larguei Natura e Boticário faz muito tempo.Precisam sentir no bolso!,-1
@FBLEddy Um absurdo isso! Como usuário Boticário vou suspender o uso de todos os produtos da marca por causa dessa lacração absurda!,-1
O boticário que se tornou um dos maiores intelectuais espíritas do Brasil https://t.co/XunKqQmcz9 via @tabuol @UOL,0
"Só queria está namorando pra ganhar uma caixinha de som, kit da Boticário ou pix vale comida no domingo 🙆🏼‍♀️🤡😂",1
"Ganhe dinheiro de volta e cupom de desconto em suas compras! Cobasi, quem disse berenice, loccitane, droga raia, drogasil, boticario, mac, decolar, emporio da cerveja, hurb, compra certa, dell etc ! Acesse o link, cadastre-se e comece com R$5 de saldo!  https://t.co/hP5G92GXsE https://t.co/Jfmt6VfJ15",0
"ganhei outro perfume da o Boticário, eu amo🥰🥰",1
@waanmoura Por isso só uso o 214 da o boticário vida,0
@ljmnunes @AgnaldoRamosDS Puta que o pariu..só faltava...essa boticário tb lacrando...fazer o que liberdade acima de tudo..mas.e.e i feliz é.,-1
@CamilaCostt4 Vamos la na Boticário cmg ?🥹,0
amo ganhar kit da natura/boticário,1
Fico besta com o tanto de gente q vem me pedir indicação de perfume/ perguntar sobre e vem fala de boticário eu fico tipo??????? Pq só uso Natura kkkkkkkkkkkk,0
"@DigitalDead amigo, lendo os comentários eu fiquei ainda mais confusa porque o sentido que eu entendi foi um trocadilho com o som ""boticário"" e ""bote cárie"", mas agora to na dúvida 😭😂😭",0
Boticário né more.. hahah,0
Meu cheiro sempre fica na pessoa isso é boticário 👏👌💪,1
"Eu fui na boticário hoje comprei 8 itens e deu 345 conto, achei que valeu a pena, tô falida pro resto do ano porém cheirosa e com o cabelo lindo!",1
"- malbec, senhor?!
- boticário

 KKKKKKKKKKKK",0
"Não vou dar rolê enquanto eu não comprar meu 212, gosto de cheirar a 212 e não a peônia da Boticário kkk",-1
"@NonaConta_ Boticário já era,natura também",-1
E minha mãe que veio me visitar e trouxe um monte de coisa da o Boticário 🥰,1
@ludilourenco1 @SarahBonett E eu que namorava o que trabalha na boticario 🫠🫠 KKKKKK,0
"Comprei muita coisa na boticário, chegou rapidinho 🫣",1
a bora abrindo a bolsa e tirando o creme de algodão da boticario cara…,0
"@luanesd13 de acordo com o comercial da Boticário, pode dar presente também kkk",0
"coloco minhas coisas em uma bolsinha da boticário, sabe .. mo humilhação",-1
NÃO COMPRE O BOTICÁRIO ESSE LIXO COMUNISTA QUE FICA LACRANDO #QUEMLACRANÃOLUCRA https://t.co/DnQiw0RZSZ,-1
"Levei o Vitor na boticário uma vez dar um cheiro nos perfumes q eu gostava e ja to até prevendo o presente do dia dos namorados, se for oq eu to pensando (o que 100% de certeza eu tenho) eu falo kkkkk",0
@FBLEddy Essa atitude do Boticário é discriminatória não apenas com os héteros como com os gays.  Por que então não colocou um casal gay e um casal hétero? O amor e a data não é para todos?  Isso mais prejudica que ajuda. #ficaadica,-1
@Pericles_Leao Zaad da Boticário kkkk,0
A propaganda do o Boticário transformando o 12 d junho em dia do amor sugerindo q até os ficantes merecem ganhar presente é uma estratégia pra vender mais. Não caia.,-1
Propaganda do Boticário tentando normalizar presente pra ficante.... Se a moda pega tenho uns amigos que ia a falencia,0
"@oBoticario Tá bem, muito obrigada pela dica Boticário 🫶🏾",1
"vcs sabiam q tem la na boticário q fica perto do silveira o florattavred, eu n sabia",1
"eu tô apaixonada por um perfume do boticário e ele é caríssimo, um amor impossível",1
"@Janainn59428160 AGORA O GRUPO LEMA SEGUE O BOTICÁRIO.
NESSA LOJAS AMERICANAS NÃO COMPRO MAIS🤮🤮🤮🤮",-1
"MAIS UMA!
DEPOIS DO BOTICÁRIO AGORA A LOJA DO GRUPO LEMA LACRANDO. https://t.co/DPOyxdJrV4",-1
quero saber quando a dona Boticário vai voltar com a linha do bubbaloo aff,-1
elogiada d+ no primeiro dia la no boticario,1
n posso ir na boticário com minha mãe q saio cheia de coisa kkkkkkk,0
"eu tava usando um condicionador aleatório porque o meu tinha acabado e é bizarro como o meu cabelo ta perfeito em 1 dia de uso, juro!!! linha match da boticário tem todo meu coração",1
a qualidade dos produtos de cabelo da boticário é surreal,1
só por causa desse tweet eu to indo agora comprar um perfume da boticario,1
